"f (Hz)"	"G_exp (S)"	"G_mod (S)"	"B_exp (S)"	"B_mod (S)"	"R_exp (Ohm)"	"R_mod (Ohm)"	"X_exp (Ohm)"	"X_mod (Ohm)"
1.1410e+05	1.9300e-05	1.9954e-05	4.0100e-04	4.0442e-04	1.1975e+02	1.2171e+02	-2.4880e+03	-2.4667e+03	
1.1420e+05	1.9700e-05	2.0100e-05	4.0200e-04	4.0567e-04	1.2161e+02	1.2184e+02	-2.4816e+03	-2.4590e+03	
1.1430e+05	2.0100e-05	2.0249e-05	4.0300e-04	4.0693e-04	1.2345e+02	1.2198e+02	-2.4752e+03	-2.4514e+03	
1.1440e+05	2.0500e-05	2.0401e-05	4.0400e-04	4.0821e-04	1.2528e+02	1.2212e+02	-2.4689e+03	-2.4436e+03	
1.1450e+05	2.0900e-05	2.0556e-05	4.0500e-04	4.0951e-04	1.2708e+02	1.2227e+02	-2.4626e+03	-2.4358e+03	
1.1460e+05	2.1300e-05	2.0714e-05	4.0800e-04	4.1082e-04	1.2761e+02	1.2242e+02	-2.4443e+03	-2.4280e+03	
1.1470e+05	2.1700e-05	2.0875e-05	4.1000e-04	4.1214e-04	1.2873e+02	1.2258e+02	-2.4322e+03	-2.4201e+03	
1.1480e+05	2.2100e-05	2.1039e-05	4.1200e-04	4.1348e-04	1.2982e+02	1.2274e+02	-2.4202e+03	-2.4122e+03	
1.1490e+05	2.2500e-05	2.1206e-05	4.1500e-04	4.1484e-04	1.3026e+02	1.2290e+02	-2.4026e+03	-2.4043e+03	
1.1500e+05	2.2900e-05	2.1377e-05	4.1700e-04	4.1622e-04	1.3130e+02	1.2307e+02	-2.3909e+03	-2.3963e+03	
1.1510e+05	2.3300e-05	2.1552e-05	4.1800e-04	4.1761e-04	1.3294e+02	1.2325e+02	-2.3849e+03	-2.3882e+03	
1.1520e+05	2.3600e-05	2.1729e-05	4.2000e-04	4.1902e-04	1.3337e+02	1.2343e+02	-2.3735e+03	-2.3801e+03	
