"f (Hz)"	"G_exp (S)"	"G_mod (S)"	"B_exp (S)"	"B_mod (S)"	"R_exp (Ohm)"	"R_mod (Ohm)"	"X_exp (Ohm)"	"X_mod (Ohm)"
1.2790e+05	2.3200e-03	2.5841e-03	9.8800e-04	9.5795e-04	3.6486e+02	3.4023e+02	-1.5538e+02	-1.2613e+02	
1.2800e+05	2.5100e-03	2.7282e-03	6.0800e-04	6.2179e-04	3.7633e+02	3.4845e+02	-9.1158e+01	-7.9416e+01	
1.2810e+05	2.6000e-03	2.7792e-03	2.3400e-04	2.4409e-04	3.8153e+02	3.5707e+02	-3.4337e+01	-3.1361e+01	
1.2820e+05	2.5300e-03	2.7247e-03	-1.9000e-04	-1.3472e-04	3.9304e+02	3.6611e+02	2.9517e+01	1.8102e+01	
1.2830e+05	2.4600e-03	2.5753e-03	-5.6800e-04	-4.7336e-04	3.8593e+02	3.7561e+02	8.9109e+01	6.9039e+01	
1.2840e+05	2.4000e-03	2.3591e-03	-8.1800e-04	-7.4347e-04	3.7330e+02	3.8559e+02	1.2723e+02	1.2152e+02	
1.2850e+05	2.3300e-03	2.1099e-03	-9.9300e-04	-9.3549e-04	3.6321e+02	3.9609e+02	1.5479e+02	1.7561e+02	
1.2860e+05	2.1100e-03	1.8565e-03	-1.0600e-03	-1.0552e-03	3.7843e+02	4.0713e+02	1.9011e+02	2.3141e+02	
1.2870e+05	1.8700e-03	1.6177e-03	-1.0900e-03	-1.1163e-03	3.9915e+02	4.1876e+02	2.3266e+02	2.8898e+02	
1.2880e+05	1.6200e-03	1.4032e-03	-1.1300e-03	-1.1342e-03	4.1525e+02	4.3103e+02	2.8965e+02	3.4842e+02	
1.2890e+05	1.3900e-03	1.2161e-03	-1.1000e-03	-1.1226e-03	4.4238e+02	4.4396e+02	3.5008e+02	4.0982e+02	
1.2900e+05	1.1800e-03	1.0558e-03	-1.0700e-03	-1.0920e-03	4.6506e+02	4.5763e+02	4.2171e+02	4.7329e+02	
1.2910e+05	1.0100e-03	9.1966e-04	-1.0400e-03	-1.0499e-03	4.8056e+02	4.7207e+02	4.9484e+02	5.3894e+02	
1.2920e+05	8.8300e-04	8.0445e-04	-9.8400e-04	-1.0018e-03	5.0516e+02	4.8734e+02	5.6295e+02	6.0688e+02	
1.2930e+05	7.6900e-04	7.0701e-04	-9.2300e-04	-9.5094e-04	5.3281e+02	5.0352e+02	6.3951e+02	6.7723e+02	
1.2940e+05	6.7000e-04	6.2445e-04	-8.7800e-04	-8.9966e-04	5.4928e+02	5.2067e+02	7.1980e+02	7.5014e+02	
1.2950e+05	6.0300e-04	5.5426e-04	-8.3300e-04	-8.4933e-04	5.7021e+02	5.3886e+02	7.8771e+02	8.2574e+02	
1.2960e+05	5.5100e-04	4.9435e-04	-7.9000e-04	-8.0078e-04	5.9394e+02	5.5819e+02	8.5157e+02	9.0419e+02	
1.2970e+05	5.0300e-04	4.4299e-04	-7.4700e-04	-7.5444e-04	6.2021e+02	5.7875e+02	9.2106e+02	9.8565e+02	
1.2980e+05	4.5100e-04	3.9875e-04	-7.0900e-04	-7.1054e-04	6.3874e+02	6.0064e+02	1.0041e+03	1.0703e+03	
1.2990e+05	4.0300e-04	3.6045e-04	-6.7300e-04	-6.6913e-04	6.5492e+02	6.2398e+02	1.0937e+03	1.1584e+03	
1.3000e+05	3.5800e-04	3.2714e-04	-6.3600e-04	-6.3018e-04	6.7210e+02	6.4890e+02	1.1940e+03	1.2500e+03	
1.3010e+05	3.2200e-04	2.9804e-04	-5.9800e-04	-5.9361e-04	6.9805e+02	6.7553e+02	1.2964e+03	1.3455e+03	
1.3020e+05	2.9200e-04	2.7250e-04	-5.6500e-04	-5.5928e-04	7.2190e+02	7.0403e+02	1.3968e+03	1.4450e+03	
1.3030e+05	2.6600e-04	2.4999e-04	-5.3300e-04	-5.2708e-04	7.4962e+02	7.3459e+02	1.5021e+03	1.5488e+03	
1.3040e+05	2.4200e-04	2.3007e-04	-5.0500e-04	-4.9686e-04	7.7171e+02	7.6739e+02	1.6104e+03	1.6573e+03	
1.3050e+05	2.2900e-04	2.1237e-04	-4.7700e-04	-4.6848e-04	8.1794e+02	8.0267e+02	1.7038e+03	1.7707e+03	
1.3060e+05	2.1600e-04	1.9658e-04	-4.4900e-04	-4.4181e-04	8.7007e+02	8.4066e+02	1.8086e+03	1.8894e+03	
1.3070e+05	2.0500e-04	1.8246e-04	-4.2700e-04	-4.1672e-04	9.1373e+02	8.8165e+02	1.9032e+03	2.0137e+03	
1.3080e+05	1.8700e-04	1.6977e-04	-4.0600e-04	-3.9310e-04	9.3591e+02	9.2595e+02	2.0320e+03	2.1440e+03	
1.3090e+05	1.7200e-04	1.5835e-04	-3.8600e-04	-3.7083e-04	9.6315e+02	9.7393e+02	2.1615e+03	2.2808e+03	
1.3100e+05	1.6100e-04	1.4802e-04	-3.6700e-04	-3.4980e-04	1.0024e+03	1.0260e+03	2.2850e+03	2.4246e+03	
1.3110e+05	1.5000e-04	1.3867e-04	-3.4800e-04	-3.2994e-04	1.0445e+03	1.0826e+03	2.4233e+03	2.5759e+03	
1.3120e+05	1.4000e-04	1.3017e-04	-3.3000e-04	-3.1115e-04	1.0895e+03	1.1443e+03	2.5681e+03	2.7352e+03	
1.3130e+05	1.3000e-04	1.2243e-04	-3.1200e-04	-2.9335e-04	1.1379e+03	1.2117e+03	2.7310e+03	2.9033e+03	
1.3140e+05	1.2100e-04	1.1536e-04	-2.9600e-04	-2.7647e-04	1.1833e+03	1.2855e+03	2.8947e+03	3.0807e+03	
1.3150e+05	1.1500e-04	1.0889e-04	-2.7900e-04	-2.6044e-04	1.2628e+03	1.3664e+03	3.0637e+03	3.2683e+03	
1.3160e+05	1.1000e-04	1.0295e-04	-2.6200e-04	-2.4521e-04	1.3623e+03	1.4556e+03	3.2448e+03	3.4670e+03	
1.3170e+05	1.0500e-04	9.7494e-05	-2.4700e-04	-2.3072e-04	1.4576e+03	1.5540e+03	3.4289e+03	3.6775e+03	
1.3180e+05	1.0100e-04	9.2468e-05	-2.3300e-04	-2.1692e-04	1.5661e+03	1.6629e+03	3.6130e+03	3.9011e+03	
1.3190e+05	9.5900e-05	8.7828e-05	-2.1800e-04	-2.0376e-04	1.6907e+03	1.7839e+03	3.8434e+03	4.1387e+03	
1.3200e+05	9.1200e-05	8.3539e-05	-2.0500e-04	-1.9120e-04	1.8116e+03	1.9188e+03	4.0721e+03	4.3917e+03	
1.3210e+05	8.6500e-05	7.9565e-05	-1.9200e-04	-1.7920e-04	1.9506e+03	2.0696e+03	4.3296e+03	4.6613e+03	
1.3220e+05	8.0100e-05	7.5879e-05	-1.7900e-04	-1.6773e-04	2.0828e+03	2.2389e+03	4.6545e+03	4.9491e+03	
1.3230e+05	7.5200e-05	7.2453e-05	-1.6600e-04	-1.5675e-04	2.2643e+03	2.4297e+03	4.9983e+03	5.2566e+03	
1.3240e+05	7.1500e-05	6.9264e-05	-1.5500e-04	-1.4623e-04	2.4539e+03	2.6457e+03	5.3197e+03	5.5855e+03	
1.3250e+05	6.8700e-05	6.6292e-05	-1.4500e-04	-1.3614e-04	2.6685e+03	2.8913e+03	5.6322e+03	5.9376e+03	
1.3260e+05	6.7200e-05	6.3518e-05	-1.3600e-04	-1.2646e-04	2.9202e+03	3.1718e+03	5.9100e+03	6.3147e+03	
1.3270e+05	6.6100e-05	6.0925e-05	-1.2700e-04	-1.1716e-04	3.2247e+03	3.4938e+03	6.1957e+03	6.7186e+03	
1.3280e+05	6.3600e-05	5.8498e-05	-1.1800e-04	-1.0822e-04	3.5394e+03	3.8654e+03	6.5669e+03	7.1510e+03	
1.3290e+05	6.0600e-05	5.6224e-05	-1.0900e-04	-9.9623e-05	3.8963e+03	4.2965e+03	7.0081e+03	7.6130e+03	
1.3300e+05	5.7500e-05	5.4090e-05	-1.0000e-04	-9.1347e-05	4.3213e+03	4.7995e+03	7.5153e+03	8.1053e+03	
1.3310e+05	5.4800e-05	5.2086e-05	-9.2500e-05	-8.3374e-05	4.7408e+03	5.3896e+03	8.0022e+03	8.6271e+03	
1.3320e+05	5.2700e-05	5.0201e-05	-8.5300e-05	-7.5689e-05	5.2420e+03	6.0858e+03	8.4847e+03	9.1756e+03	
1.3330e+05	5.1100e-05	4.8427e-05	-7.8100e-05	-6.8274e-05	5.8663e+03	6.9116e+03	8.9659e+03	9.7443e+03	
1.3340e+05	4.9700e-05	4.6755e-05	-7.1000e-05	-6.1118e-05	6.6169e+03	7.8959e+03	9.4527e+03	1.0321e+04	
1.3350e+05	4.8400e-05	4.5178e-05	-6.3900e-05	-5.4205e-05	7.5322e+03	9.0733e+03	9.9443e+03	1.0886e+04	
1.3360e+05	4.7400e-05	4.3689e-05	-5.6100e-05	-4.7524e-05	8.7876e+03	1.0484e+04	1.0401e+04	1.1404e+04	
1.3370e+05	4.6100e-05	4.2282e-05	-4.8500e-05	-4.1062e-05	1.0296e+04	1.2171e+04	1.0832e+04	1.1820e+04	
1.3380e+05	4.4300e-05	4.0950e-05	-4.1200e-05	-3.4810e-05	1.2104e+04	1.4176e+04	1.1257e+04	1.2050e+04	
1.3390e+05	4.4700e-05	3.9690e-05	-3.4600e-05	-2.8757e-05	1.3990e+04	1.6522e+04	1.0829e+04	1.1971e+04	
1.3400e+05	4.4100e-05	3.8496e-05	-2.8400e-05	-2.2892e-05	1.6028e+04	1.9190e+04	1.0322e+04	1.1412e+04	
1.3410e+05	4.2400e-05	3.7364e-05	-2.2700e-05	-1.7209e-05	1.8331e+04	2.2080e+04	9.8139e+03	1.0169e+04	
1.3420e+05	4.2400e-05	3.6289e-05	-1.5100e-05	-1.1697e-05	2.0930e+04	2.4963e+04	7.4540e+03	8.0461e+03	
1.3430e+05	4.2100e-05	3.5268e-05	-8.2400e-06	-6.3490e-06	2.2877e+04	2.7464e+04	4.4775e+03	4.9440e+03	
1.3440e+05	4.0800e-05	3.4298e-05	-1.4000e-06	-1.1577e-06	2.4481e+04	2.9123e+04	8.4003e+02	9.8304e+02	
1.3450e+05	3.7200e-05	3.3376e-05	6.1700e-06	3.8839e-06	2.6162e+04	2.9562e+04	-4.3392e+03	-3.4400e+03	
1.3460e+05	3.5000e-05	3.2497e-05	1.1000e-05	8.7825e-06	2.6003e+04	2.8677e+04	-8.1724e+03	-7.7500e+03	
1.3470e+05	3.3100e-05	3.1661e-05	1.5800e-05	1.3544e-05	2.4605e+04	2.6699e+04	-1.1745e+04	-1.1421e+04	
1.3480e+05	3.1000e-05	3.0864e-05	1.9300e-05	1.8175e-05	2.3247e+04	2.4058e+04	-1.4473e+04	-1.4167e+04	
1.3490e+05	2.9900e-05	3.0104e-05	2.2800e-05	2.2681e-05	2.1148e+04	2.1190e+04	-1.6126e+04	-1.5965e+04	
1.3500e+05	2.9800e-05	2.9378e-05	2.6100e-05	2.7066e-05	1.8990e+04	1.8411e+04	-1.6632e+04	-1.6962e+04	
1.3510e+05	2.9400e-05	2.8686e-05	3.0600e-05	3.1336e-05	1.6327e+04	1.5894e+04	-1.6993e+04	-1.7362e+04	
1.3520e+05	2.9000e-05	2.8024e-05	3.5400e-05	3.5496e-05	1.3848e+04	1.3702e+04	-1.6904e+04	-1.7355e+04	
1.3530e+05	2.8800e-05	2.7392e-05	3.9200e-05	3.9549e-05	1.2172e+04	1.1835e+04	-1.6567e+04	-1.7088e+04	
1.3540e+05	2.8300e-05	2.6787e-05	4.2700e-05	4.3501e-05	1.0784e+04	1.0264e+04	-1.6272e+04	-1.6668e+04	
1.3550e+05	2.7600e-05	2.6208e-05	4.6400e-05	4.7355e-05	9.4692e+03	8.9468e+03	-1.5919e+04	-1.6166e+04	
1.3560e+05	2.6800e-05	2.5654e-05	5.0100e-05	5.1114e-05	8.3017e+03	7.8433e+03	-1.5519e+04	-1.5627e+04	
1.3570e+05	2.6000e-05	2.5123e-05	5.3800e-05	5.4784e-05	7.2820e+03	6.9164e+03	-1.5068e+04	-1.5082e+04	
1.3580e+05	2.5300e-05	2.4615e-05	5.7700e-05	5.8366e-05	6.3738e+03	6.1346e+03	-1.4536e+04	-1.4546e+04	
1.3590e+05	2.4700e-05	2.4127e-05	6.1200e-05	6.1864e-05	5.6710e+03	5.4719e+03	-1.4051e+04	-1.4030e+04	
1.3600e+05	2.3900e-05	2.3659e-05	6.4400e-05	6.5282e-05	5.0651e+03	4.9071e+03	-1.3648e+04	-1.3540e+04	
1.3610e+05	2.3300e-05	2.3211e-05	6.7500e-05	6.8621e-05	4.5694e+03	4.4231e+03	-1.3238e+04	-1.3077e+04	
1.3620e+05	2.2600e-05	2.2780e-05	7.0600e-05	7.1886e-05	4.1127e+03	4.0059e+03	-1.2848e+04	-1.2641e+04	
1.3630e+05	2.1600e-05	2.2366e-05	7.4000e-05	7.5078e-05	3.6348e+03	3.6444e+03	-1.2453e+04	-1.2234e+04	
1.3640e+05	2.0600e-05	2.1968e-05	7.7300e-05	7.8201e-05	3.2189e+03	3.3295e+03	-1.2079e+04	-1.1852e+04	
1.3650e+05	2.0600e-05	2.1586e-05	8.0200e-05	8.1256e-05	3.0045e+03	3.0538e+03	-1.1697e+04	-1.1495e+04	
1.3660e+05	2.0600e-05	2.1218e-05	8.3400e-05	8.4247e-05	2.7914e+03	2.8112e+03	-1.1301e+04	-1.1162e+04	
1.3670e+05	2.0400e-05	2.0865e-05	8.6300e-05	8.7174e-05	2.5941e+03	2.5969e+03	-1.0974e+04	-1.0850e+04	
1.3680e+05	2.0100e-05	2.0525e-05	8.8900e-05	9.0041e-05	2.4196e+03	2.4066e+03	-1.0702e+04	-1.0558e+04	
1.3690e+05	1.9800e-05	2.0197e-05	9.1700e-05	9.2849e-05	2.2498e+03	2.2370e+03	-1.0419e+04	-1.0284e+04	
1.3700e+05	1.9400e-05	1.9882e-05	9.4300e-05	9.5600e-05	2.0930e+03	2.0852e+03	-1.0174e+04	-1.0027e+04	
1.3710e+05	1.8900e-05	1.9578e-05	9.6600e-05	9.8296e-05	1.9507e+03	1.9489e+03	-9.9703e+03	-9.7852e+03	
1.3720e+05	1.8500e-05	1.9285e-05	9.8900e-05	1.0094e-04	1.8274e+03	1.8261e+03	-9.7694e+03	-9.5580e+03	
1.3730e+05	1.8100e-05	1.9003e-05	1.0100e-04	1.0353e-04	1.7191e+03	1.7151e+03	-9.5929e+03	-9.3441e+03	
1.3740e+05	1.7700e-05	1.8731e-05	1.0400e-04	1.0607e-04	1.5904e+03	1.6144e+03	-9.3447e+03	-9.1424e+03	
1.3750e+05	1.7500e-05	1.8468e-05	1.0600e-04	1.0857e-04	1.5162e+03	1.5228e+03	-9.1837e+03	-8.9519e+03	
1.3760e+05	1.7400e-05	1.8215e-05	1.0900e-04	1.1101e-04	1.4281e+03	1.4393e+03	-8.9463e+03	-8.7718e+03	
1.3770e+05	1.7200e-05	1.7970e-05	1.1100e-04	1.1342e-04	1.3633e+03	1.3628e+03	-8.7978e+03	-8.6012e+03	
1.3780e+05	1.7100e-05	1.7734e-05	1.1400e-04	1.1577e-04	1.2868e+03	1.2928e+03	-8.5789e+03	-8.4396e+03	
1.3790e+05	1.6800e-05	1.7506e-05	1.1600e-04	1.1809e-04	1.2229e+03	1.2284e+03	-8.4436e+03	-8.2862e+03	
1.3800e+05	1.6400e-05	1.7286e-05	1.1800e-04	1.2036e-04	1.1555e+03	1.1691e+03	-8.3140e+03	-8.1404e+03	
1.3810e+05	1.6000e-05	1.7074e-05	1.2000e-04	1.2259e-04	1.0917e+03	1.1144e+03	-8.1878e+03	-8.0018e+03	
1.3820e+05	1.5700e-05	1.6868e-05	1.2200e-04	1.2479e-04	1.0376e+03	1.0638e+03	-8.0632e+03	-7.8697e+03	
1.3830e+05	1.5500e-05	1.6669e-05	1.2300e-04	1.2695e-04	1.0085e+03	1.0168e+03	-8.0030e+03	-7.7438e+03	
1.3840e+05	1.5300e-05	1.6477e-05	1.2500e-04	1.2907e-04	9.6475e+02	9.7328e+02	-7.8819e+03	-7.6237e+03	
1.3850e+05	1.5200e-05	1.6291e-05	1.2700e-04	1.3115e-04	9.2909e+02	9.3276e+02	-7.7628e+03	-7.5090e+03	
1.3860e+05	1.5000e-05	1.6112e-05	1.2900e-04	1.3320e-04	8.8936e+02	8.9500e+02	-7.6485e+03	-7.3993e+03	
1.3870e+05	1.4800e-05	1.5938e-05	1.3100e-04	1.3522e-04	8.5155e+02	8.5976e+02	-7.5374e+03	-7.2943e+03	
1.3880e+05	1.4500e-05	1.5769e-05	1.3200e-04	1.3720e-04	8.2226e+02	8.2682e+02	-7.4854e+03	-7.1937e+03	
1.3890e+05	1.4300e-05	1.5606e-05	1.3400e-04	1.3915e-04	7.8742e+02	7.9599e+02	-7.3787e+03	-7.0973e+03	
1.3900e+05	1.4100e-05	1.5448e-05	1.3600e-04	1.4107e-04	7.5422e+02	7.6708e+02	-7.2747e+03	-7.0047e+03	
1.3910e+05	1.3900e-05	1.5296e-05	1.3800e-04	1.4296e-04	7.2256e+02	7.3995e+02	-7.1736e+03	-6.9159e+03	
1.3920e+05	1.3700e-05	1.5148e-05	1.4000e-04	1.4482e-04	6.9235e+02	7.1444e+02	-7.0751e+03	-6.8304e+03	
1.3930e+05	1.3500e-05	1.5004e-05	1.4100e-04	1.4665e-04	6.7287e+02	6.9043e+02	-7.0278e+03	-6.7483e+03	
1.3940e+05	1.3300e-05	1.4865e-05	1.4300e-04	1.4845e-04	6.4482e+02	6.6780e+02	-6.9330e+03	-6.6692e+03	
1.3950e+05	1.3100e-05	1.4730e-05	1.4500e-04	1.5023e-04	6.1802e+02	6.4646e+02	-6.8407e+03	-6.5930e+03	
1.3960e+05	1.3100e-05	1.4600e-05	1.4600e-04	1.5198e-04	6.0965e+02	6.2629e+02	-6.7946e+03	-6.5196e+03	
1.3970e+05	1.3000e-05	1.4473e-05	1.4800e-04	1.5371e-04	5.8895e+02	6.0723e+02	-6.7050e+03	-6.4488e+03	
1.3980e+05	1.2900e-05	1.4351e-05	1.4900e-04	1.5541e-04	5.7673e+02	5.8918e+02	-6.6615e+03	-6.3804e+03	
1.3990e+05	1.2800e-05	1.4231e-05	1.5100e-04	1.5708e-04	5.5737e+02	5.7208e+02	-6.5753e+03	-6.3144e+03	
1.4000e+05	1.2700e-05	1.4116e-05	1.5300e-04	1.5873e-04	5.3881e+02	5.5586e+02	-6.4912e+03	-6.2505e+03	
