"f (Hz)"	"G (S)"	"B (S)"
1.251e+05	1.67e-04	9.04e-04
1.252e+05	1.75e-04	9.23e-04
1.253e+05	1.87e-04	9.44e-04
1.254e+05	1.99e-04	9.66e-04
1.255e+05	2.13e-04	9.88e-04
1.256e+05	2.28e-04	1.01e-03
1.257e+05	2.45e-04	1.04e-03
1.258e+05	2.64e-04	1.06e-03
1.259e+05	2.84e-04	1.09e-03
1.260e+05	3.06e-04	1.12e-03
1.261e+05	3.24e-04	1.15e-03
1.262e+05	3.42e-04	1.18e-03
1.263e+05	3.64e-04	1.21e-03
1.264e+05	4.07e-04	1.25e-03
1.265e+05	4.55e-04	1.30e-03
1.266e+05	5.09e-04	1.34e-03
1.267e+05	5.66e-04	1.39e-03
1.268e+05	6.24e-04	1.43e-03
1.269e+05	6.98e-04	1.47e-03
1.270e+05	7.85e-04	1.51e-03
1.271e+05	8.83e-04	1.54e-03
1.272e+05	9.94e-04	1.57e-03
1.273e+05	1.11e-03	1.59e-03
1.274e+05	1.22e-03	1.62e-03
1.275e+05	1.36e-03	1.59e-03
1.276e+05	1.57e-03	1.55e-03
1.277e+05	1.80e-03	1.43e-03
1.278e+05	2.07e-03	1.30e-03
1.279e+05	2.32e-03	9.88e-04
1.280e+05	2.51e-03	6.08e-04
1.281e+05	2.60e-03	2.34e-04
1.282e+05	2.53e-03	-1.90e-04
1.283e+05	2.46e-03	-5.68e-04
1.284e+05	2.40e-03	-8.18e-04
1.285e+05	2.33e-03	-9.93e-04
1.286e+05	2.11e-03	-1.06e-03
1.287e+05	1.87e-03	-1.09e-03
1.288e+05	1.62e-03	-1.13e-03
1.289e+05	1.39e-03	-1.10e-03
1.290e+05	1.18e-03	-1.07e-03
1.291e+05	1.01e-03	-1.04e-03
1.292e+05	8.83e-04	-9.84e-04
1.293e+05	7.69e-04	-9.23e-04
1.294e+05	6.70e-04	-8.78e-04
1.295e+05	6.03e-04	-8.33e-04
1.296e+05	5.51e-04	-7.90e-04
1.297e+05	5.03e-04	-7.47e-04
1.298e+05	4.51e-04	-7.09e-04
1.299e+05	4.03e-04	-6.73e-04
1.300e+05	3.58e-04	-6.36e-04
1.301e+05	3.22e-04	-5.98e-04
1.302e+05	2.92e-04	-5.65e-04
1.303e+05	2.66e-04	-5.33e-04
1.304e+05	2.42e-04	-5.05e-04
1.305e+05	2.29e-04	-4.77e-04
1.306e+05	2.16e-04	-4.49e-04
1.307e+05	2.05e-04	-4.27e-04
1.308e+05	1.87e-04	-4.06e-04
1.309e+05	1.72e-04	-3.86e-04
1.310e+05	1.61e-04	-3.67e-04
1.311e+05	1.50e-04	-3.48e-04
1.312e+05	1.40e-04	-3.30e-04
1.313e+05	1.30e-04	-3.12e-04
1.314e+05	1.21e-04	-2.96e-04
1.315e+05	1.15e-04	-2.79e-04
1.316e+05	1.10e-04	-2.62e-04
1.317e+05	1.05e-04	-2.47e-04
1.318e+05	1.01e-04	-2.33e-04
1.319e+05	9.59e-05	-2.18e-04
1.320e+05	9.12e-05	-2.05e-04
1.321e+05	8.65e-05	-1.92e-04
1.322e+05	8.01e-05	-1.79e-04
1.323e+05	7.52e-05	-1.66e-04
1.324e+05	7.15e-05	-1.55e-04
1.325e+05	6.87e-05	-1.45e-04
1.326e+05	6.72e-05	-1.36e-04
1.327e+05	6.61e-05	-1.27e-04
1.328e+05	6.36e-05	-1.18e-04
1.329e+05	6.06e-05	-1.09e-04
1.330e+05	5.75e-05	-1.00e-04
1.331e+05	5.48e-05	-9.25e-05
1.332e+05	5.27e-05	-8.53e-05
1.333e+05	5.11e-05	-7.81e-05
